ID,Name,URL,Specialty,Location,Hospital,Biography
11,"Shady M. Elsamra, MD",https://www.ynhhs.org/physicians/christopher-h-van-dyck,Psychiatry,New London,YALE,"No biography provided. Are you Christopher H. Van Dyck, MD? Update your profile"
12,"Christopher H. Van Dyck, MD",https://www.ynhhs.org/physicians/shady-m-elsamra,"Psychiatry, Psychiatry, Geriatric",New Haven,YALE,"No biography provided. Are you Shady M. Elsamra, MD? Update your profile"
13,"Tsilia Glinberg, MD",https://www.ynhhs.org/physicians/tsilia-glinberg,Psychiatry,"Hamden, New Haven",YALE,"No biography provided. Are you Tsilia Glinberg, MD? Update your profile"
14,"Hilary Blumberg, MD",https://www.ynhhs.org/physicians/hilary-blumberg,Psychiatry,New Haven,YALE,"Dr. Hilary Patricia Blumberg is the John and Hope Furth Professor of Psychiatric Neuroscience, Professor of Psychiatry, Diagnostic Radiology and in the Child Center, and Director of the Mood Disorders Research Program, at the Yale School of Medicine. She graduated summa cum laude in neuroscience from Harvard University and completed her medical degree, psychiatry training and specialty training in brain scanning research at Cornell University Medical College. Dr. Blumberg’s research is devoted to understanding the development of brain circuitry differences that underlie mood disorders, with a focus on bipolar disorder, in adolescence and young adulthood and the associated high risk of suicide, as well as changes in mood disorders across the lifespan. She directs the Mood Disorders Research Program at Yale that brings together a multi-disciplinary group of scientists to study the genetic, developmental and environmental factors that cause mood disorders to develop new methods for early detection, more effective interventions, and prevention. This research includes the use of new state-of-the-art brain scanning methods. The program is also known for training young scientists to be new leaders in the field. Dr. Blumberg has served as principal investigator on an International Bipolar Disorders Foundation project for longitudinal study of the development of bipolar disorder in adolescents, as well as on awards from the National Institute of Mental Health, National Institute on Drug Abuse, Department of Veterans Affairs, American Foundation for Suicide Prevention, Brain and Behavior Research Foundation, Stanley Medical Research Institute and Women’s Health Research at Yale. She has received numerous awards including the National Alliance for Research in Schizophrenia and Depression Gerald L. Klerman Award for Outstanding Clinical Research. She is a fellow of the American Psychiatric Association and member of the American College of Neuropsychopharmacology and Society of Biological Psychiatry."
15,"Kourtney Koslosky, MD",https://www.ynhhs.org/physicians/kourtney-koslosky,Psychiatry,New Haven,YALE,"No biography provided. Are you Kourtney Koslosky, MD? Update your profile"
16,"Dwain Fehon, PsyD",https://www.ynhhs.org/physicians/dwain-fehon,Psychiatry,New Haven,YALE,"No biography provided. Are you Dwain Fehon, PsyD? Update your profile"
17,"Joseph Check, MD",https://www.ynhhs.org/physicians/joseph-check,Psychiatry,New Haven,YALE,"No biography provided. Are you Joseph Check, MD? Update your profile"
18,"Walter S. Mathis, MD",https://www.ynhhs.org/physicians/walter-s-mathis,Psychiatry,New Haven,YALE,"No biography provided. Are you Walter S. Mathis, MD? Update your profile"
19,"Scott W. Woods, MD",https://www.ynhhs.org/physicians/scott-w-woods,Psychiatry,New Haven,YALE,"No biography provided. Are you Scott W. Woods, MD? Update your profile"
20,"Samuel T. Wilkinson, MD",https://www.ynhhs.org/physicians/samuel-t-wilkinson,Psychiatry,"Hamden, New Haven",YALE,"No biography provided. Are you Samuel T. Wilkinson, MD? Update your profile"
21,"Alexander Westphal, MD, PhD",https://www.ynhhs.org/physicians/alexander-westphal,Psychiatry,New Haven,YALE,"No biography provided. Are you Alexander Westphal, MD, PhD? Update your profile"
22,"Susan G. Parke, MD",https://www.ynhhs.org/physicians/susan-g-parke,Psychiatry,New Haven,YALE,"Susan Parke, MD, is a psychiatrist and medical director of Community Forensics Services at the Connecticut Mental Health Center (CMHC) in New Haven. CMHC is a collaboration between Yale School of Medicine’s Department of Psychiatry and the Connecticut Department of Mental Health & Addiction Services. 
Dr. Parke, a child, adult and forensic psychiatrist, says she decided to pursue a career in psychiatry after working as a high school counselor. “I thought that the students I was meeting with were struggling emotionally with issues that were being impacted by physiological processes,” she says. “I felt like I didn’t know enough about the body and wanted to learn more.” 
Dr. Parke says she was particularly drawn to helping people who have experienced trauma. “I’m interested in how environment might affect people, which got me interested in children and adolescents. And then I started to be interested in forensics and people’s rights, including their right to treatment and to refuse it,” she says. 
The CMHC Community Forensic Services team works with legally involved clients, including those who have been incarcerated and are returning to the community and those who have been found guilty of a crime due to insanity, as well as clients are in a residential jail diversion program and those who may need more intensive and comprehensive wrap-around services and reside at a forensic residential program.   
Dr. Parke says her favorite part of her job is building relationships with patients and learning their history. “I enjoy learning how they became who they are, who they would like to be, and figuring out how to assist them in doing that,” she says. “We don’t always have the solution for patients struggles but, in some small measure, can be on the journey with them.”"
23,"Claudia Moreno, MD",https://www.ynhhs.org/physicians/claudia-moreno,Child & Adolescent Psychiatry,New Haven,YALE,"Claudia Moreno, MD, is a child psychiatrist focusing on the mental health needs of children and adolescents in emergency and inpatient medical settings.   Born and raised in Puerto Rico, Dr. Moreno identifies as Latina and is fully bilingual in English and Spanish.  In her clinical practice at Yale New Haven Hospital Children’s Hospital, she treats various mental health conditions, including Major Depressive Disorder, Adjustment Disorders, Anxiety Disorders, Eating Disorders, Substance Induced Psychosis, Delirium and Catatonia. Dr. Moreno provides evidence-based therapeutic approaches, such as cognitive behavioral therapy (CBT), solution-focused brief therapy, as well as psychopharmacology. She is the medical director for Child and Adolescent Psychiatry Consultation & Liaison Service at YNHCH, associate medical director for Intensive In-home Child and Adolescent Psychiatric Services (IICAPS) and consultant psychiatrist for ACCESS Mental Health, Child Study Center Hub. Dr. Moreno's research explores mental health and pediatric care topics, such as wait times for mental health visits in pediatric emergency rooms and the increase in incidence of Eating Disorders requiring medical intervention after the 2020 Pandemic.  Dr. Moreno is an assistant professor of child psychiatry at Yale University School of Medicine."
24,"Sina Nikayin, MD",https://www.ynhhs.org/physicians/sina-nikayin,Psychiatry,New Haven,YALE,"Sina Nikayin, MD, is a psychiatrist at the Yale Interventional Psychiatry Service (IPS). Interventional psychiatrists utilize advanced modalities and procedures to treat patients who are resistant to other treatments such as medications, and who may be at higher risk of medical and psychiatric complications because of the severity of their illness.
At the IPS, Dr. Nikayin works with a variety of therapies, including ketamine, esketamine (Spravato), electroconvulsive therapy (ECT), and transcranial magnetic stimulation (TMS) to treat treatment-resistant depression (TRD). Some of these modalities can also be used to treat other psychiatric disorders, such as bipolar disorders and schizoaffective disorder.
“Interventional modalities can provide significant relief and improvement to patients who have been suffering from depression or other psychiatric disorders for a long time, have tried and failed multiple treatments, and may have been suffering for many years,” says Dr. Nikayin.
It’s rewarding to be able to help these patients find relief, he adds. “For me, the highest reward is when my patients experience relief from their symptoms, when they tell me that they had almost forgotten what it was like to not feel the burden of depression. Once again, they are able to genuinely laugh or enjoy activities they used to love.”
In addition to his clinical work, Dr. Nikayin is an assistant professor of psychiatry at Yale School of Medicine, where he and his colleagues are involved in multiple clinical research projects designed to address such topics as the effectiveness of ketamine as an antidepressant in Parkinson’s disease, the use of cognitive behavioral therapy alongside esketamine in the treatment of depression with suicidal ideation, and the effectiveness and safety of ECT compared to ketamine in treatment of depression."
25,"Christopher J. Pittenger, MD, PhD",https://www.ynhhs.org/physicians/christopher-j-pittenger,Psychiatry,New Haven,YALE,"Chris Pittenger, MD, PhD, earned his MD and PhD degrees from Columbia University, where his graduate work was done with Nobel Prize recipient Eric Kandel. He returned to Yale University, his undergraduate alma mater, for residency and research training in psychiatry in 2003. He joined the faculty as an Assistant Professor in 2007 and is now Elizabeth Mears and House Jameson Professor of Psychiatry, Professor of Psychology and in the Child Study Center, and Deputy Chair for Translational Research in the Department of Psychiatry. Dr. Pittenger has always been fascinated by the question of how the brain, a complex but ultimately a physical structure, creates thought, feeling, consciousness, and other aspects of the mind. As a psychiatrist he is additionally focused on how these processes go wrong—how brain dysregulation leads to dysregulated cognition, emotion, and behavior and to mental suffering, and how advancing our understanding of these relationships can guide us to new strategies to alleviate that suffering.  Much of his work has focused on obsessive-compulsive disorder and Tourette syndrome and on the cortico-basal ganglia circuitry that is implicated in their pathophysiology. More recently Dr. Pittenger has co-founded the Yale Program for Psychedelic Science, focusing on understanding how molecules like psilocybin and LSD can teach us about brain and behavior and may lead to new treatments for a range of neuropsychiatric pathology. He is also one of the founding Directors of the Yale Center for Brain and Mind Health, which seeks to bridge disciplines and levels of analysis to bring new therapeutics to individuals suffering from disorders of the mind and brain. Dr. Pittenger's research and clinical work have been acknowledged by a number of prestigious awards, including grant funding from the National Institute of Mental Health, the National Institute of Neurological Disease and Stroke, NARSAD, the Tourette Syndrome of America, the Doris Duke Charitable Trust, and other organizations. He has won a number of awards, including from the National Institute of Mental Health, the Society for Neuroscience, the American College of Neuropsychopharmacology, the American Psychiatric Association, and the American College of Psychiatrists.  He is a member of the Scientific Advisory Board of the International OCD Foundation and Chair of both their Grant Review Committee and their Annual Research Symposium Planning Committee. He is a Fellow of the American College of Neuropsychopharmacology, the American Psychiatric Association, and the American Neurological Association."
26,"John H. Krystal, MD",https://www.ynhhs.org/physicians/john-h-krystal,Psychiatry,New Haven,YALE,"John Krystal, MD, is a leading expert  in the areas of alcoholism, post-traumatic stress disorder,  schizophrenia, and depression. His work links psychopharmacology,  neuroimaging, molecular genetics, and computational neuroscience to  study the neurobiology and treatment of these disorders. He is best  known for leading the discovery of the rapid antidepressant effects of  ketamine in depressed patients.
  
He is a member of the U.S.  National Academy of Medicine. He also serves in a variety of advisory  and review capacities for NIAAA, NIMH, Wellcome Trust, Brain and  Behavior Research Foundation, the Broad Institute, and the Karolinska  Institutet.   
Dr. Krystal previously served on  the National Alcohol Abuse and Alcoholism Advisory Council (NIAAA), the  Department of Defense Psychological Health Advisory Committee, and the  NIMH Board of Scientific Counselors (chair, 2005-2007). He has led the  American College of Neuropsychopharmacology (president, 2012), and  International College of Neuropsychophamacology (president, 2016-2018).   
Currently, he is co-chair of the  Neuroscience Forum (NeuroForum) of the National Academies of Sciences,  Engineering, and Medicine, a member of the NIMH National Mental Health  Advisory Council, and he edits the journal, Biological Psychiatry  (impact factor: 11.982)."
27,"Sarah Riley, MD",https://www.ynhhs.org/physicians/sarah-riley,Psychiatry,New Haven,YALE,"No biography provided. Are you Sarah Riley, MD? Update your profile"
28,"Muniza Majoka, MD",https://www.ynhhs.org/physicians/muniza-majoka,Psychiatry,Greenwich,YALE,"No biography provided. Are you Muniza Majoka, MD? Update your profile"
29,"Amir Garakani, MD",https://www.ynhhs.org/physicians/amir-garakani,Psychiatry,Greenwich,YALE,"No biography provided. Are you Amir Garakani, MD? Update your profile"
30,"Oscar A. Gerdner, MD",https://www.ynhhs.org/physicians/oscar-a-gerdner,Child & Adolescent Psychiatry,New Haven,YALE,"Oscar Gerdner, M.D., is a board-certified child and adolescent psychiatrist at the Yale Child Study Center, where he previously served as a Chief Fellow, an honor to which he was elected by his peers and faculty. He is passionate about providing excellent patient care and ""making the world a better place for kids and their families.""
Raised in Connecticut, Dr. Gerdner studied psychology at Georgetown before returning home to the University of Connecticut for medical school. At UConn, he did research on the roles of fathers in caring for children with HIV and was elected by his peers for induction into the Gold Humanism Honor Society, which recognizes integrity, compassion, altruism, and service in addition to clinical excellence. After earning his M.D., Dr. Gerdner trained in adult psychiatry at Harvard Medical School’s Massachusetts General Hospital and McLean Hospital. At Harvard, he served as a Chief Resident and completed a Fellowship in Psychoanalytic Psychotherapy with the Boston Psychoanalytic Society and Institute. He also served on the premedical committee of Harvard College's Currier House and pursued advanced training in Mentalization-Based Treatment (MBT) at McLean. A board-certified general psychiatrist, Dr. Gerdner served as an assistant editor for the Harvard Review of Psychiatryand has written book chapters on cognitive behavioral therapy (CBT), dialectical behavior therapy (DBT), motivational interviewing, and autism spectrum disorders. He has published on the nature of the patient-physician relationship and has presented at national conferences on difficult-to-treat psychiatric conditions and on innovations in medical education. Dr. Gerdner is thrilled to be on the faculty in child and adolescent psychiatry at Yale. At Yale, he has also had the privilege of teaching an undergraduate course on the neuroscience, psychology and history of mindfulness. In his free time, Dr. Gerdner enjoys hanging out with his family, reading, playing video games, discovering new music, and exploring beautiful Connecticut by bicycle."
31,"Shannon Mazur, DO",https://www.ynhhs.org/physicians/shannon-mazur,Psychiatry,New Haven,YALE,"No biography provided. Are you Shannon Mazur, DO? Update your profile"
32,"Gabriel Cartagena, PhD",https://www.ynhhs.org/physicians/gabriel-cartagena,Psychiatry,New Haven,YALE,"No biography provided. Are you Gabriel Cartagena, PhD? Update your profile"
33,"Matthew N. Goldenberg, MD, MSc",https://www.ynhhs.org/physicians/matthew-n-goldenberg,Psychiatry,New Haven,YALE,"No biography provided. Are you Matthew N. Goldenberg, MD, MSc? Update your profile"
34,"Theresa Laggis, APRN",https://www.ynhhs.org/physicians/theresa-laggis,Psychiatry,New London,YALE,"No biography provided. Are you Theresa Laggis, APRN? Update your profile"
35,"Sherry Pruitt, APRN",https://www.ynhhs.org/physicians/sherry-pruitt,Psychiatry,New London,YALE,"No biography provided. Are you Sherry Pruitt, APRN? Update your profile"
36,"Nicholas A. Bender, PA",https://www.ynhhs.org/physicians/nicholas-a-bender,Psychiatry,New Haven,YALE,"No biography provided. Are you Nicholas A. Bender, PA? Update your profile"
37,"Kim G. Smolderen, PhD",https://www.ynhhs.org/physicians/kim-g-smolderen,Psychiatry,New Haven,YALE,"No biography provided. Are you Kim G. Smolderen, PhD? Update your profile"
38,"Joyce Wong, MD",https://www.ynhhs.org/physicians/joyce-wong,Psychiatry,Bridgeport,YALE,"No biography provided. Are you Joyce Wong, MD? Update your profile"
39,"Haakon Weyel, APRN",https://www.ynhhs.org/physicians/haakon-weyel,Psychiatry,Bridgeport,YALE,"No biography provided. Are you Haakon Weyel, APRN? Update your profile"
40,"Adam P. Mecca, MD",https://www.ynhhs.org/physicians/adam-p-mecca,Psychiatry,New Haven,YALE,"Adam Mecca, MD, PhD is a geriatric psychiatrist who specializes in memory disorders including Alzheimer’s disease, dementia, mild cognitive impairment, and other related conditions.  
“I enjoy meeting patients and their families and working together to understand the cause of a person's symptoms and finding the best way to help,” Dr. Mecca says. “I value the opportunity to work with patients experiencing changes in their memory and thinking. We discuss the important changes occurring in their life, and work on building supports so that they can continue to thrive in all ways possible.”
An active researcher, Dr. Mecca studies Alzheimer’s disease and related disorders. “It is a very satisfying focus since memory disorders affect so many people. There is an enormous need for effective treatments,” he says. “I am passionate about bringing understanding of a life-altering disease process into awareness. It is vital to educate, provide treatment, and to help patients and families work through what is often a progressive and incurable illness.”
As the associate director of the Yale Alzheimer’s Disease Research Unit, he works with a team to better understand Alzheimer’s disease and develop effective therapies. He and his collaborators are creating neuroimaging methods to investigate the neurobiology of Alzheimer’s disease.
Their efforts have led to a novel positron emission tomography (PET) imaging technique to measure decreases in the number of connections between nerve cells in people with Alzheimer’s disease. This work may accelerate the development of effective treatments."
41,"Javier Lopez, MD",https://www.ynhhs.org/physicians/javier-lopez,"Psychiatry, Psychiatry, Geriatric","Trumbull, Bridgeport",YALE,"No biography provided. Are you Susan K. DeStefano, APRN? Update your profile"
42,"Susan K. DeStefano, APRN",https://www.ynhhs.org/physicians/susan-k-destefano,Psychiatry,New Haven,YALE,"No biography provided. Are you Stanley Lyndon, MD? Update your profile"
43,"Stanley Lyndon, MD",https://www.ynhhs.org/physicians/stanley-lyndon,Psychiatry,New Haven,YALE,"No biography provided. Are you Javier Lopez, MD? Update your profile"
44,"Lyndsey Lukas, APRN",https://www.ynhhs.org/physicians/lyndsey-lukas,Psychiatry,New London,YALE,"No biography provided. Are you Lyndsey Lukas, APRN? Update your profile"
45,"Caroline Schmidt, PhD",https://www.ynhhs.org/physicians/caroline-schmidt,Psychiatry,New Haven,YALE,"Caroline Schmidt, PhD, is a clinical psychologist who offers patients streamlined access to culturally affirmative mental health care that is integrated within the patients' medical home using a Collaborative Care Management model. Currently her services are only available through referral by Yale Internal Medicine Associates providers. Patients with depression or anxiety may engage in brief, team-based care, which includes supportive psychotherapy and medication management.
   
  
Much of Dr. Schmidt’s training and background are in Health Psychology, a field that treats mental health issues that co-occur with or impact physiological health conditions. “It’s not uncommon when people have some sort of health problem that they also need some support for their emotional needs,” says Dr. Schmidt. “When you use a team approach to incorporate the mind and body together in treatment, it’s very helpful for patients.”    
  
As a clinician, Dr. Schmidt prides herself on offering compassionate support for people as they implement changes to recover from and prevent these distressing conditions.
   
  
In addition to seeing patients, Dr. Schmidt is an assistant clinical professor in the Department of Psychiatry at the Yale School of Medicine."
46,"Tova M. Gardin, MD",https://www.ynhhs.org/physicians/tova-m-gardin,Psychiatry,New Haven,YALE,"As a clinician scientist with a strong interest in Psychiatry and Neurology, Tova Gardin, MD, MPP, performs basic and translational research to elucidate immunologic mechanisms of diseases at the intersection of these two fields. Her research prior to and during medical school investigated imaging biomarkers in traumatic brain injury and schizophrenia.  Upon graduating from Harvard Medical School with Honors in Research, Dr. Gardin completed a Neurology residency at Yale School of Medicine and received board certification in Neurology. During this time, she was awarded an NIH R25 Development Award to study transcriptional profiles at the single-cell level in autoimmune diseases affecting the central nervous system (CNS).  In the hopes of developing strategies to treat the many psychiatric and neurologic manifestations of immune-mediated diseases, such as multiple sclerosis and autoimmune encephalitis, in 2021, Dr. Gardin joined the Neuroscience Research Training Program (NRTP) of the Psychiatry Residency Program and the Neuroimmunology Fellowship Program at Yale School of Medicine. ""I look forward to providing excellent integrated clinical care and building a translational research program that will elucidate immunologic mechanisms, as well as develop targeted CNS therapeutics,"" she says."
47,"Anahita Bassir Nia, MD",https://www.ynhhs.org/physicians/anahita-bassir-nia,Psychiatry,New Haven,YALE,"No biography provided. Are you Anahita Bassir Nia, MD? Update your profile"
48,"Kelly K. Powell, PhD",https://www.ynhhs.org/physicians/kelly-k-powell,Child & Adolescent Psychiatry,New Haven,YALE,"Kelly Powell, PhD, specializes in pediatric developmental and behavioral medicine, focusing on pervasive developmental disorders and autism spectrum disorder (ASD). She is the co-director of the Yale Toddler Developmental Disabilities Clinic. She provides personalized therapy for individuals with ASD and Asperger syndrome and manages pediatric acute-onset neuropsychiatric syndrome (PANS). Powell's research explores ASD, executive function and attention, pediatric neuroimaging, parent-clinician agreement, and remote interventions. She studies attention, behavior, and development in children, particularly those with ASD. Her work includes understanding brain connections related to attention, the impact of planning and decision-making difficulties on young children with autism, and early attention challenges in infants later diagnosed with ASD. Powell is an assistant professor at the Yale Child Study Center."
49,"Suman Baddam, MD",https://www.ynhhs.org/physicians/suman-baddam,Child & Adolescent Psychiatry,"North Haven, New Haven",YALE,"No biography provided. Are you Suman Baddam, MD? Update your profile"
50,"Pratik Bahekar, MD",https://www.ynhhs.org/physicians/pratik-bahekar,Psychiatry,New Haven,YALE,"No biography provided. Are you Pratik Bahekar, MD? Update your profile"
51,"Arman Fesharaki-Zadeh, MD",https://www.ynhhs.org/physicians/arman-fesharaki_zadeh,Psychiatry,"Guilford, New Haven",YALE,"Arman Fesharaki-Zadeh, MD, is a behavioral neurologist and neuropsychiatrist at Yale Medicine. He specializes in neurodegenerative diseases such as Alzheimer’s, Traumatic Brain Injury (TBI), and various types of dementia, such as Fronto-Temporal Dementia (FTD). 
Dr. Fesharaki-Zadeh grew up in Canada as the son of a surgeon. His father’s passion for medicine inspired him to go to medical school. He decided to focus on traumatic brain injury and other neurodegenerative diseases after his experiences as a psychiatry resident at a veteran’s hospital in Brooklyn. There, he noticed a subgroup of PTSD patients who did not respond to treatments even though they were on a maximum dose of medications. He discovered that many of these PTSD patients had also suffered from traumatic brain injuries, which complicated their conditions. In 2017, he completed a fellowship in behavioral neurology/ neuropsychiatry at Yale University School of Medicine.
Currently, the majority of Dr. Fesharaki-Zadeh’s time is spent conducting research using animal models to understand traumatic brain injury and chronic traumatic encephalopathy.
In addition to conducting research, Dr. Fesharaki-Zadeh also sees patients at Yale memory outpatient clinic . As a physician, his first priority is establishing trust with a patient. “A lot of the symptoms are personal, affecting their day-to-day lives, and for the patients to be able to trust their physician is of paramount importance,” he says.
  
To establish that positive relationship, Dr. Fesharaki-Zadeh will start his appointments off with open-ended questions about what prompted them to see a physician, what has changed in their lives, and where they are in their life. He will also test patients’ short- and long-term memories in order to understand the severity of their conditions.
In addition to seeing patients and conducting research, Dr. Fesharaki-Zadeh teaches psychiatry and neurology at Yale School of Medicine."
